X,Y,status_id,user_name,localization,place,tweet,time
110.3738554,-7.7422551,"1334216259794329602",niadaniaryumzha,Jogja,"Ngaglik, Indonesia, Indonesia","Baru saja mengirim foto @ Jalan Palagan, Kel Sariharjo Kec Ngaglik, Sleman - Yogyakarta https://t.co/b7yLxILOpv",2020/12/02 19:21:59
110.369599,-7.749577,"1334217320970002435",niadaniaryumzha,Jogja,"Ngaglik, Indonesia, Indonesia",Baru saja mengirim foto @ Museum Monumen Yogya Kembali https://t.co/f8c79NWSEX,2020/12/02 19:26:12
110.4190428,-7.66723989,"1334220178780016647",cendhol011SKB,Tempel Sleman ,"Pakem, Indonesia, Indonesia",Ngrasake di uwek2 irunge @ Posko Trc Bpbd Sleman https://t.co/QhyUDtuiZ0,2020/12/02 19:37:33
110.37816551,-7.73433196,"1334246699947098112",OkkySatriyo,"ÜT: -6.2198675,106.64186","Ngaglik, Indonesia, Indonesia",Baru saja mengirim foto @ Tamansari Amarta Apartemen https://t.co/ceBqqm9TNj,2020/12/02 21:22:57
110.4088862,-7.78142168,"1334258238829674497",backdropevent,,"Depok, Indonesia, Indonesia","Support event indoor Kementerian Pariwisata, Backdrop set ukuran 366 x 610 cm dengan downlight @ Eastparc Hotel Yogyakarta https://t.co/SAKsGLi9Bz",2020/12/02 22:08:48
110.3784538,-7.7556091,"1334267807366844422",hadi_wijoyo12,SDA - SBY - NGW - JGJ,"Depok, Indonesia, Indonesia","Morning Coffee.
.
© Hadi Wijoyo 2020 @ Gentlemen Spot https://t.co/KCxWZtSkRg",2020/12/02 22:46:49
110.484447,-7.7520756,"1334274222202359809",berasmartani,"Prambanan, Jogjakarta","Kalasan, Indonesia, Indonesia",Just posted a photo @ Kopi Oemah Martani Babadan https://t.co/wFzpdz2UF6,2020/12/02 23:12:18
110.404981,-7.759488,"1334274778816016387",TriJi20,,"Depok, Indonesia, Indonesia",Hp kentang nih😂 @ Ringroad Utara Yogyakarta https://t.co/ZsyasoLdfZ,2020/12/02 23:14:31
110.35165493,-7.7216703,"1334299724908814339",muftiag88,"Yogyakarta, Indonesia","Sleman, Indonesia, Indonesia",Baru saja mengirim foto @ Beran Kidul Sleman https://t.co/fKDdEfn5bF,2020/12/03 00:53:39
110.35165493,-7.7216703,"1334306168123043842",muftiag88,"Yogyakarta, Indonesia","Sleman, Indonesia, Indonesia",Baru saja mengirim foto @ Beran Kidul Sleman https://t.co/v6xiYZMcOX,2020/12/03 01:19:15
110.31139425,-7.74623298,"1334308418614566913",Dendriarsa,"ÜT: -7.746116,110.311452","Seyegan, Indonesia, Indonesia","Ada yg tau judul dan liriknya? Aku diinfo dong..
.
https://t.co/K6D1FVp4Pe @ Di Lubuk Hatimu https://t.co/5nveFkvnm4",2020/12/03 01:28:11
110.398763,-7.73614245,"1334317035115995137",LupzLupz_aZah,"Yogyakarta, Indonesia","Depok, Indonesia, Indonesia","Udah makan aja dl biar perutx g meliliiitt 🤣🤣🤣 

#latepost #seafood @ The Crabbys jl Kaliurang km 7 https://t.co/mLKY8qcH79",2020/12/03 02:02:26
110.4086706,-7.78361482,"1334321389768040449",HondaJogja1,"Yogyakarta, Indonesia","Depok, Indonesia, Indonesia",Baru saja mengirim foto @ Honda Anugerah https://t.co/xyFepjrECG,2020/12/03 02:19:44
110.37120581,-7.75617447,"1334333506340737025",Surclas,"Yogyakarta, Indonesia","Mlati, Indonesia, Indonesia",Just posted a photo @ Surclas Indonesia https://t.co/MFglkY3MSU,2020/12/03 03:07:53
110.39126136,-7.74243721,"1334335022359310342",mogitscj,"Franklin, WI","Ngaglik, Indonesia, Indonesia",Baru saja mengirim foto @ Skolastikat SCJ https://t.co/YHQlCPEBXk,2020/12/03 03:13:54
110.32252027,-7.80091781,"1334335353327669248",jogjaproperti,"Yogyakarta, Indonesia","Gamping, Indonesia, Indonesia","Baru saja mengirim foto @ Gamping Sleman, Yogyakarta https://t.co/jq7rVS4xRR",2020/12/03 03:15:13
110.39478242,-7.78286727,"1334353466987327488",BalaiP2PJawa3,Semarang,"Depok, Indonesia, Indonesia","Selamat Hari bakti PU yang ke-75!

Selama 75 tahun PUPR sigap membangun negeri demi kemajuan infrastruktur di Indonesia

@kemenpupr 

#SigapMembangunNegeri 
#harbakPU75 @ Balai Pelaksana Penyediaan Perumahan Jawa III https://t.co/cZjoL2lb97",2020/12/03 04:27:12
110.35694122,-7.71972227,"1334359183890685952",sabelllaa,"Kota Yogyakarta, Yogyakarta","Sleman, Indonesia, Indonesia",Potret Mbak Andin lagi nungguin Mas Al 🙏 @ Floating Resto Sleman https://t.co/TI6Vza3dkZ,2020/12/03 04:49:55
110.293033,-7.767333,"1334360307284779008",jogjaproperti,"Yogyakarta, Indonesia","Godean, Indonesia, Indonesia","Baru saja mengirim foto @ Godean, Yogyakarta, Indonesia https://t.co/fuTB6aP8wE",2020/12/03 04:54:23
110.42715089,-7.73288991,"1334364421553000449",FauziiSurya,SLEMAN - YOGYAKARTA,"Ngemplak, Indonesia, Indonesia",Cabai. @ Wedomartani https://t.co/z59F4kb4Gt,2020/12/03 05:10:44
110.40038019,-7.77760273,"1334368063647526915",clinickamera,"Yogyakarta, Indonesia","Depok, Indonesia, Indonesia",Just posted a photo @ Clinic Kamera dan Lensa https://t.co/OiZWhJ03u9,2020/12/03 05:25:12
110.3774929,-7.77137607,"1334379351035367426",UGMYogyakarta,"Yogyakarta, Indonesia","Depok, Indonesia, Indonesia",Kawasan Ratu Boko Belum Maksimal Beri Kesejahteraan Masyarakat Sekitar https://t.co/r5Dj0loBjS https://t.co/3cpW2ifOlB,2020/12/03 06:10:03
110.484447,-7.7520756,"1334380154693570560",berasmartani,"Prambanan, Jogjakarta","Kalasan, Indonesia, Indonesia","Kami memang kurang tidur tapi kami punya banyak mimpi. 

If you want to make your dreams come true don't sleep to long. 

#dreamcatcher by @kem3dol 
#tulisanditruk 
#hidupdijalan @ Kopi Oemah Martani Babadan https://t.co/vqYwirUzV2",2020/12/03 06:13:15
110.40074391,-7.75749906,"1334390219748106240",PoldaJogja,"Yogyakarta, Indonesia","Depok, Indonesia, Indonesia",Baru saja mengirim foto @ Polda D.I. Yogyakarta https://t.co/AIHgyaN6eU,2020/12/03 06:53:14
110.40074391,-7.75749906,"1334404986260893696",PoldaJogja,"Yogyakarta, Indonesia","Depok, Indonesia, Indonesia",Baru saja mengirim foto @ Polda D.I. Yogyakarta https://t.co/rhfamiihZm,2020/12/03 07:51:55
110.4459683,-7.7600667,"1334407681130508288",sufimurti,"-7.756818,110.406271","Kalasan, Indonesia, Indonesia","Nyoto seger dulu. 
#saotobathok @ Sambisari Purwomartani Kalasan Sleman Yogyakarta https://t.co/YnXakUSn4i",2020/12/03 08:02:37
110.3774929,-7.77137607,"1334425151811715073",UGMYogyakarta,"Yogyakarta, Indonesia","Depok, Indonesia, Indonesia",#UGM Kembangkan Obat Antivirus Corona https://t.co/p08FZFGdsm https://t.co/zcQaDps6oH,2020/12/03 09:12:03
110.40038019,-7.77760273,"1334439703748206595",clinickamera,"Yogyakarta, Indonesia","Depok, Indonesia, Indonesia",Just posted a photo @ Clinic Kamera dan Lensa https://t.co/Bbr9Ppc5Lq,2020/12/03 10:09:52
